onset	duration	TrialEvent	ToneLabel	Trial	CRESP	RESP	ACC	RT	Code
0.041	2	TrialStart	Standard	1	0	1	0	1163	FalseAlarm
2.041	0.2	ToneStart	Standard	1	0	1	0	1163	FalseAlarm
3.29	2	TrialStart	Standard	2	0	1	0	767	FalseAlarm
5.29	0.2	ToneStart	Standard	2	0	1	0	767	FalseAlarm
6.54	2	TrialStart	Standard	3	0	1	0	666	FalseAlarm
8.54	0.2	ToneStart	Standard	3	0	1	0	666	FalseAlarm
9.79	2	TrialStart	Novel	4	0	0	1	n/a	CorrectRejection
11.79	0.2	ToneStart	Novel	4	0	0	1	n/a	CorrectRejection
13.039	1	TrialStart	Standard	5	0	1	0	772	FalseAlarm
14.039	0.2	ToneStart	Standard	5	0	1	0	772	FalseAlarm
15.289	1	TrialStart	Standard	6	0	1	0	577	FalseAlarm
16.289	0.2	ToneStart	Standard	6	0	1	0	577	FalseAlarm
17.539	2	TrialStart	Standard	7	0	1	0	691	FalseAlarm
19.539	0.2	ToneStart	Standard	7	0	1	0	691	FalseAlarm
20.789	1	TrialStart	Standard	8	0	1	0	586	FalseAlarm
21.789	0.2	ToneStart	Standard	8	0	1	0	586	FalseAlarm
23.038	1	TrialStart	Standard	9	0	1	0	527	FalseAlarm
24.038	0.2	ToneStart	Standard	9	0	1	0	527	FalseAlarm
25.288	1	TrialStart	Standard	10	0	1	0	610	FalseAlarm
26.288	0.2	ToneStart	Standard	10	0	1	0	610	FalseAlarm
27.538	1	TrialStart	Oddball	11	1	0	0	n/a	Miss
28.538	0.2	ToneStart	Oddball	11	1	0	0	n/a	Miss
29.788	1	TrialStart	Standard	12	0	0	1	n/a	CorrectRejection
30.788	0.2	ToneStart	Standard	12	0	0	1	n/a	CorrectRejection
32.037	2	TrialStart	Standard	13	0	0	1	n/a	CorrectRejection
34.037	0.2	ToneStart	Standard	13	0	0	1	n/a	CorrectRejection
35.287	1	TrialStart	Standard	14	0	0	1	n/a	CorrectRejection
36.288	0.2	ToneStart	Standard	14	0	0	1	n/a	CorrectRejection
37.554	2	TrialStart	Standard	15	0	0	1	n/a	CorrectRejection
39.553	0.2	ToneStart	Standard	15	0	0	1	n/a	CorrectRejection
40.803	2	TrialStart	Standard	16	0	0	1	n/a	CorrectRejection
42.803	0.2	ToneStart	Standard	16	0	0	1	n/a	CorrectRejection
44.053	1	TrialStart	Novel	17	0	0	1	n/a	CorrectRejection
45.054	0.2	ToneStart	Novel	17	0	0	1	n/a	CorrectRejection
46.319	2	TrialStart	Standard	18	0	0	1	n/a	CorrectRejection
48.319	0.2	ToneStart	Standard	18	0	0	1	n/a	CorrectRejection
49.569	2	TrialStart	Standard	19	0	0	1	n/a	CorrectRejection
51.569	0.2	ToneStart	Standard	19	0	0	1	n/a	CorrectRejection
52.819	1	TrialStart	Standard	20	0	0	1	n/a	CorrectRejection
53.819	0.2	ToneStart	Standard	20	0	0	1	n/a	CorrectRejection
55.068	2	TrialStart	Standard	21	0	0	1	n/a	CorrectRejection
57.068	0.2	ToneStart	Standard	21	0	0	1	n/a	CorrectRejection
58.318	2	TrialStart	Standard	22	0	0	1	n/a	CorrectRejection
60.318	0.2	ToneStart	Standard	22	0	0	1	n/a	CorrectRejection
61.568	1	TrialStart	Novel	23	0	0	1	n/a	CorrectRejection
62.568	0.2	ToneStart	Novel	23	0	0	1	n/a	CorrectRejection
63.834	2	TrialStart	Oddball	24	1	1	1	579	Hit
65.834	0.2	ToneStart	Oddball	24	1	1	1	579	Hit
67.084	2	TrialStart	Standard	25	0	0	1	n/a	CorrectRejection
69.084	0.2	ToneStart	Standard	25	0	0	1	n/a	CorrectRejection
70.334	2	TrialStart	Standard	26	0	0	1	n/a	CorrectRejection
72.333	0.2	ToneStart	Standard	26	0	0	1	n/a	CorrectRejection
73.583	1	TrialStart	Standard	27	0	0	1	n/a	CorrectRejection
74.583	0.2	ToneStart	Standard	27	0	0	1	n/a	CorrectRejection
75.833	2	TrialStart	Standard	28	0	0	1	n/a	CorrectRejection
77.833	0.2	ToneStart	Standard	28	0	0	1	n/a	CorrectRejection
79.083	2	TrialStart	Oddball	29	1	1	1	555	Hit
81.082	0.2	ToneStart	Oddball	29	1	1	1	555	Hit
82.332	1	TrialStart	Novel	30	0	0	1	n/a	CorrectRejection
83.333	0.2	ToneStart	Novel	30	0	0	1	n/a	CorrectRejection
84.582	1	TrialStart	Standard	31	0	0	1	n/a	CorrectRejection
85.582	0.2	ToneStart	Standard	31	0	0	1	n/a	CorrectRejection
86.832	2	TrialStart	Standard	32	0	0	1	n/a	CorrectRejection
88.832	0.2	ToneStart	Standard	32	0	0	1	n/a	CorrectRejection
90.082	1	TrialStart	Novel	33	0	0	1	n/a	CorrectRejection
91.081	0.2	ToneStart	Novel	33	0	0	1	n/a	CorrectRejection
92.331	2	TrialStart	Standard	34	0	0	1	n/a	CorrectRejection
94.331	0.2	ToneStart	Standard	34	0	0	1	n/a	CorrectRejection
