onset	duration	TrialEvent	ToneLabel	Trial	CRESP	RESP	ACC	RT	Code
0.032	2	TrialStart	Standard	1	0	0	1	n/a	CorrectRejection
2.033	0.2	ToneStart	Standard	1	0	0	1	n/a	CorrectRejection
3.282	2	TrialStart	Standard	2	0	0	1	n/a	CorrectRejection
5.282	0.2	ToneStart	Standard	2	0	0	1	n/a	CorrectRejection
6.532	2	TrialStart	Standard	3	0	0	1	n/a	CorrectRejection
8.531	0.2	ToneStart	Standard	3	0	0	1	n/a	CorrectRejection
9.781	2	TrialStart	Novel	4	0	0	1	n/a	CorrectRejection
11.781	0.2	ToneStart	Novel	4	0	0	1	n/a	CorrectRejection
13.031	1	TrialStart	Standard	5	0	0	1	n/a	CorrectRejection
14.031	0.2	ToneStart	Standard	5	0	0	1	n/a	CorrectRejection
15.281	1	TrialStart	Standard	6	0	0	1	n/a	CorrectRejection
16.28	0.2	ToneStart	Standard	6	0	0	1	n/a	CorrectRejection
17.53	2	TrialStart	Standard	7	0	0	1	n/a	CorrectRejection
19.53	0.2	ToneStart	Standard	7	0	0	1	n/a	CorrectRejection
20.78	1	TrialStart	Standard	8	0	0	1	n/a	CorrectRejection
21.78	0.2	ToneStart	Standard	8	0	0	1	n/a	CorrectRejection
23.03	1	TrialStart	Standard	9	0	0	1	n/a	CorrectRejection
24.03	0.2	ToneStart	Standard	9	0	0	1	n/a	CorrectRejection
25.28	1	TrialStart	Standard	10	0	0	1	n/a	CorrectRejection
26.279	0.2	ToneStart	Standard	10	0	0	1	n/a	CorrectRejection
27.529	1	TrialStart	Oddball	11	1	1	1	385	Hit
28.529	0.2	ToneStart	Oddball	11	1	1	1	385	Hit
29.779	1	TrialStart	Standard	12	0	0	1	n/a	CorrectRejection
30.779	0.2	ToneStart	Standard	12	0	0	1	n/a	CorrectRejection
32.029	2	TrialStart	Standard	13	0	0	1	n/a	CorrectRejection
34.029	0.2	ToneStart	Standard	13	0	0	1	n/a	CorrectRejection
35.278	1	TrialStart	Standard	14	0	0	1	n/a	CorrectRejection
36.278	0.2	ToneStart	Standard	14	0	0	1	n/a	CorrectRejection
37.528	2	TrialStart	Standard	15	0	0	1	n/a	CorrectRejection
39.528	0.2	ToneStart	Standard	15	0	0	1	n/a	CorrectRejection
40.778	2	TrialStart	Standard	16	0	0	1	n/a	CorrectRejection
42.778	0.2	ToneStart	Standard	16	0	0	1	n/a	CorrectRejection
44.028	1	TrialStart	Novel	17	0	0	1	n/a	CorrectRejection
45.027	0.2	ToneStart	Novel	17	0	0	1	n/a	CorrectRejection
46.277	2	TrialStart	Standard	18	0	0	1	n/a	CorrectRejection
48.277	0.2	ToneStart	Standard	18	0	0	1	n/a	CorrectRejection
49.527	2	TrialStart	Standard	19	0	0	1	n/a	CorrectRejection
51.527	0.2	ToneStart	Standard	19	0	0	1	n/a	CorrectRejection
52.777	1	TrialStart	Standard	20	0	0	1	n/a	CorrectRejection
53.776	0.2	ToneStart	Standard	20	0	0	1	n/a	CorrectRejection
55.026	2	TrialStart	Standard	21	0	0	1	n/a	CorrectRejection
57.026	0.2	ToneStart	Standard	21	0	0	1	n/a	CorrectRejection
58.276	2	TrialStart	Standard	22	0	0	1	n/a	CorrectRejection
60.276	0.2	ToneStart	Standard	22	0	0	1	n/a	CorrectRejection
61.526	1	TrialStart	Novel	23	0	0	1	n/a	CorrectRejection
62.526	0.2	ToneStart	Novel	23	0	0	1	n/a	CorrectRejection
63.775	2	TrialStart	Oddball	24	1	1	1	435	Hit
65.775	0.2	ToneStart	Oddball	24	1	1	1	435	Hit
67.025	2	TrialStart	Standard	25	0	0	1	n/a	CorrectRejection
69.025	0.2	ToneStart	Standard	25	0	0	1	n/a	CorrectRejection
70.275	2	TrialStart	Standard	26	0	0	1	n/a	CorrectRejection
72.274	0.2	ToneStart	Standard	26	0	0	1	n/a	CorrectRejection
73.524	1	TrialStart	Standard	27	0	0	1	n/a	CorrectRejection
74.524	0.2	ToneStart	Standard	27	0	0	1	n/a	CorrectRejection
75.774	2	TrialStart	Standard	28	0	0	1	n/a	CorrectRejection
77.774	0.2	ToneStart	Standard	28	0	0	1	n/a	CorrectRejection
79.024	2	TrialStart	Oddball	29	1	1	1	450	Hit
81.024	0.2	ToneStart	Oddball	29	1	1	1	450	Hit
82.273	1	TrialStart	Novel	30	0	0	1	n/a	CorrectRejection
83.273	0.2	ToneStart	Novel	30	0	0	1	n/a	CorrectRejection
84.523	1	TrialStart	Standard	31	0	0	1	n/a	CorrectRejection
85.523	0.2	ToneStart	Standard	31	0	0	1	n/a	CorrectRejection
86.773	2	TrialStart	Standard	32	0	0	1	n/a	CorrectRejection
88.773	0.2	ToneStart	Standard	32	0	0	1	n/a	CorrectRejection
90.023	1	TrialStart	Novel	33	0	0	1	n/a	CorrectRejection
91.022	0.2	ToneStart	Novel	33	0	0	1	n/a	CorrectRejection
92.272	2	TrialStart	Standard	34	0	0	1	n/a	CorrectRejection
94.272	0.2	ToneStart	Standard	34	0	0	1	n/a	CorrectRejection
95.522	2	TrialStart	Standard	35	0	0	1	n/a	CorrectRejection
97.522	0.2	ToneStart	Standard	35	0	0	1	n/a	CorrectRejection
98.772	1	TrialStart	Standard	36	0	0	1	n/a	CorrectRejection
99.772	0.2	ToneStart	Standard	36	0	0	1	n/a	CorrectRejection
101.021	1	TrialStart	Standard	37	0	0	1	n/a	CorrectRejection
102.021	0.2	ToneStart	Standard	37	0	0	1	n/a	CorrectRejection
103.271	2	TrialStart	Standard	38	0	0	1	n/a	CorrectRejection
105.271	0.2	ToneStart	Standard	38	0	0	1	n/a	CorrectRejection
106.521	2	TrialStart	Oddball	39	1	1	1	419	Hit
108.521	0.2	ToneStart	Oddball	39	1	1	1	419	Hit
109.77	2	TrialStart	Standard	40	0	0	1	n/a	CorrectRejection
111.77	0.2	ToneStart	Standard	40	0	0	1	n/a	CorrectRejection
113.02	2	TrialStart	Standard	41	0	0	1	n/a	CorrectRejection
115.02	0.2	ToneStart	Standard	41	0	0	1	n/a	CorrectRejection
116.27	1	TrialStart	Standard	42	0	0	1	n/a	CorrectRejection
117.27	0.2	ToneStart	Standard	42	0	0	1	n/a	CorrectRejection
118.52	1	TrialStart	Standard	43	0	0	1	n/a	CorrectRejection
119.519	0.2	ToneStart	Standard	43	0	0	1	n/a	CorrectRejection
120.769	1	TrialStart	Novel	44	0	0	1	n/a	CorrectRejection
121.769	0.2	ToneStart	Novel	44	0	0	1	n/a	CorrectRejection
123.019	1	TrialStart	Standard	45	0	0	1	n/a	CorrectRejection
124.019	0.2	ToneStart	Standard	45	0	0	1	n/a	CorrectRejection
125.269	2	TrialStart	Standard	46	0	0	1	n/a	CorrectRejection
127.269	0.2	ToneStart	Standard	46	0	0	1	n/a	CorrectRejection
