onset	duration	TrialEvent	ToneLabel	Trial	CRESP	RESP	ACC	RT	Code
0.037	2	TrialStart	Standard	1	0	0	1	n/a	CorrectRejection
2.037	0.2	ToneStart	Standard	1	0	0	1	n/a	CorrectRejection
3.303	2	TrialStart	Standard	2	0	0	1	n/a	CorrectRejection
5.303	0.2	ToneStart	Standard	2	0	0	1	n/a	CorrectRejection
6.57	2	TrialStart	Standard	3	0	0	1	n/a	CorrectRejection
8.569	0.2	ToneStart	Standard	3	0	0	1	n/a	CorrectRejection
9.836	2	TrialStart	Novel	4	0	0	1	n/a	CorrectRejection
11.836	0.2	ToneStart	Novel	4	0	0	1	n/a	CorrectRejection
13.102	1	TrialStart	Standard	5	0	0	1	n/a	CorrectRejection
14.102	0.2	ToneStart	Standard	5	0	0	1	n/a	CorrectRejection
15.352	1	TrialStart	Standard	6	0	0	1	n/a	CorrectRejection
16.352	0.2	ToneStart	Standard	6	0	0	1	n/a	CorrectRejection
17.602	2	TrialStart	Standard	7	0	0	1	n/a	CorrectRejection
19.602	0.2	ToneStart	Standard	7	0	0	1	n/a	CorrectRejection
20.851	1	TrialStart	Standard	8	0	0	1	n/a	CorrectRejection
21.851	0.2	ToneStart	Standard	8	0	0	1	n/a	CorrectRejection
23.118	1	TrialStart	Standard	9	0	0	1	n/a	CorrectRejection
24.118	0.2	ToneStart	Standard	9	0	0	1	n/a	CorrectRejection
25.368	1	TrialStart	Standard	10	0	0	1	n/a	CorrectRejection
26.367	0.2	ToneStart	Standard	10	0	0	1	n/a	CorrectRejection
27.617	1	TrialStart	Oddball	11	1	1	1	321	Hit
28.617	0.2	ToneStart	Oddball	11	1	1	1	321	Hit
29.867	1	TrialStart	Standard	12	0	0	1	n/a	CorrectRejection
30.867	0.2	ToneStart	Standard	12	0	0	1	n/a	CorrectRejection
32.117	2	TrialStart	Standard	13	0	0	1	n/a	CorrectRejection
34.117	0.2	ToneStart	Standard	13	0	0	1	n/a	CorrectRejection
35.383	1	TrialStart	Standard	14	0	0	1	n/a	CorrectRejection
36.383	0.2	ToneStart	Standard	14	0	0	1	n/a	CorrectRejection
37.65	2	TrialStart	Standard	15	0	0	1	n/a	CorrectRejection
39.649	0.2	ToneStart	Standard	15	0	0	1	n/a	CorrectRejection
40.916	2	TrialStart	Standard	16	0	0	1	n/a	CorrectRejection
42.916	0.2	ToneStart	Standard	16	0	0	1	n/a	CorrectRejection
44.182	1	TrialStart	Novel	17	0	0	1	n/a	CorrectRejection
45.183	0.2	ToneStart	Novel	17	0	0	1	n/a	CorrectRejection
46.449	2	TrialStart	Standard	18	0	0	1	n/a	CorrectRejection
48.448	0.2	ToneStart	Standard	18	0	0	1	n/a	CorrectRejection
49.715	2	TrialStart	Standard	19	0	0	1	n/a	CorrectRejection
51.715	0.2	ToneStart	Standard	19	0	0	1	n/a	CorrectRejection
52.981	1	TrialStart	Standard	20	0	0	1	n/a	CorrectRejection
53.981	0.2	ToneStart	Standard	20	0	0	1	n/a	CorrectRejection
55.248	2	TrialStart	Standard	21	0	0	1	n/a	CorrectRejection
57.247	0.2	ToneStart	Standard	21	0	0	1	n/a	CorrectRejection
58.514	2	TrialStart	Standard	22	0	0	1	n/a	CorrectRejection
60.514	0.2	ToneStart	Standard	22	0	0	1	n/a	CorrectRejection
61.78	1	TrialStart	Novel	23	0	0	1	n/a	CorrectRejection
62.78	0.2	ToneStart	Novel	23	0	0	1	n/a	CorrectRejection
64.047	2	TrialStart	Oddball	24	1	1	1	580	Hit
66.047	0.2	ToneStart	Oddball	24	1	1	1	580	Hit
67.313	2	TrialStart	Standard	25	0	0	1	n/a	CorrectRejection
69.313	0.2	ToneStart	Standard	25	0	0	1	n/a	CorrectRejection
70.579	2	TrialStart	Standard	26	0	0	1	n/a	CorrectRejection
72.579	0.2	ToneStart	Standard	26	0	0	1	n/a	CorrectRejection
73.846	1	TrialStart	Standard	27	0	0	1	n/a	CorrectRejection
74.846	0.2	ToneStart	Standard	27	0	0	1	n/a	CorrectRejection
76.112	2	TrialStart	Standard	28	0	0	1	n/a	CorrectRejection
78.112	0.2	ToneStart	Standard	28	0	0	1	n/a	CorrectRejection
79.378	2	TrialStart	Oddball	29	1	1	1	449	Hit
81.378	0.2	ToneStart	Oddball	29	1	1	1	449	Hit
82.645	1	TrialStart	Novel	30	0	0	1	n/a	CorrectRejection
83.646	0.2	ToneStart	Novel	30	0	0	1	n/a	CorrectRejection
84.911	1	TrialStart	Standard	31	0	0	1	n/a	CorrectRejection
85.911	0.2	ToneStart	Standard	31	0	0	1	n/a	CorrectRejection
87.178	2	TrialStart	Standard	32	0	0	1	n/a	CorrectRejection
89.177	0.2	ToneStart	Standard	32	0	0	1	n/a	CorrectRejection
90.444	1	TrialStart	Novel	33	0	0	1	n/a	CorrectRejection
91.444	0.2	ToneStart	Novel	33	0	0	1	n/a	CorrectRejection
92.71	2	TrialStart	Standard	34	0	0	1	n/a	CorrectRejection
94.71	0.2	ToneStart	Standard	34	0	0	1	n/a	CorrectRejection
95.96	2	TrialStart	Standard	35	0	0	1	n/a	CorrectRejection
97.96	0.2	ToneStart	Standard	35	0	0	1	n/a	CorrectRejection
99.226	1	TrialStart	Standard	36	0	0	1	n/a	CorrectRejection
100.226	0.2	ToneStart	Standard	36	0	0	1	n/a	CorrectRejection
101.493	1	TrialStart	Standard	37	0	0	1	n/a	CorrectRejection
102.493	0.2	ToneStart	Standard	37	0	0	1	n/a	CorrectRejection
103.759	2	TrialStart	Standard	38	0	0	1	n/a	CorrectRejection
105.759	0.2	ToneStart	Standard	38	0	0	1	n/a	CorrectRejection
107.026	2	TrialStart	Oddball	39	1	1	1	467	Hit
109.025	0.2	ToneStart	Oddball	39	1	1	1	467	Hit
110.292	2	TrialStart	Standard	40	0	0	1	n/a	CorrectRejection
112.292	0.2	ToneStart	Standard	40	0	0	1	n/a	CorrectRejection
113.558	2	TrialStart	Standard	41	0	0	1	n/a	CorrectRejection
115.558	0.2	ToneStart	Standard	41	0	0	1	n/a	CorrectRejection
116.824	1	TrialStart	Standard	42	0	0	1	n/a	CorrectRejection
117.824	0.2	ToneStart	Standard	42	0	0	1	n/a	CorrectRejection
119.091	1	TrialStart	Standard	43	0	0	1	n/a	CorrectRejection
120.091	0.2	ToneStart	Standard	43	0	0	1	n/a	CorrectRejection
121.357	1	TrialStart	Novel	44	0	0	1	n/a	CorrectRejection
122.357	0.2	ToneStart	Novel	44	0	0	1	n/a	CorrectRejection
123.607	1	TrialStart	Standard	45	0	0	1	n/a	CorrectRejection
124.607	0.2	ToneStart	Standard	45	0	0	1	n/a	CorrectRejection
125.873	2	TrialStart	Standard	46	0	0	1	n/a	CorrectRejection
127.873	0.2	ToneStart	Standard	46	0	0	1	n/a	CorrectRejection
129.14	2	TrialStart	Standard	47	0	0	1	n/a	CorrectRejection
131.14	0.2	ToneStart	Standard	47	0	0	1	n/a	CorrectRejection
132.406	1	TrialStart	Standard	48	0	0	1	n/a	CorrectRejection
133.406	0.2	ToneStart	Standard	48	0	0	1	n/a	CorrectRejection
134.673	2	TrialStart	Oddball	49	1	1	1	345	Hit
136.672	0.2	ToneStart	Oddball	49	1	1	1	345	Hit
137.939	2	TrialStart	Standard	50	0	0	1	n/a	CorrectRejection
139.939	0.2	ToneStart	Standard	50	0	0	1	n/a	CorrectRejection
141.205	2	TrialStart	Standard	51	0	0	1	n/a	CorrectRejection
143.205	0.2	ToneStart	Standard	51	0	0	1	n/a	CorrectRejection
144.472	2	TrialStart	Standard	52	0	0	1	n/a	CorrectRejection
146.471	0.2	ToneStart	Standard	52	0	0	1	n/a	CorrectRejection
147.738	2	TrialStart	Novel	53	0	0	1	n/a	CorrectRejection
149.738	0.2	ToneStart	Novel	53	0	0	1	n/a	CorrectRejection
151.004	2	TrialStart	Standard	54	0	0	1	n/a	CorrectRejection
153.004	0.2	ToneStart	Standard	54	0	0	1	n/a	CorrectRejection
154.27	1	TrialStart	Standard	55	0	0	1	n/a	CorrectRejection
155.27	0.2	ToneStart	Standard	55	0	0	1	n/a	CorrectRejection
156.537	1	TrialStart	Novel	56	0	0	1	n/a	CorrectRejection
157.537	0.2	ToneStart	Novel	56	0	0	1	n/a	CorrectRejection
158.803	2	TrialStart	Standard	57	0	0	1	n/a	CorrectRejection
160.803	0.2	ToneStart	Standard	57	0	0	1	n/a	CorrectRejection
162.053	1	TrialStart	Standard	58	0	0	1	n/a	CorrectRejection
163.053	0.2	ToneStart	Standard	58	0	0	1	n/a	CorrectRejection
164.32	1	TrialStart	Standard	59	0	0	1	n/a	CorrectRejection
165.319	0.2	ToneStart	Standard	59	0	0	1	n/a	CorrectRejection
166.586	1	TrialStart	Oddball	60	1	1	1	454	Hit
167.586	0.2	ToneStart	Oddball	60	1	1	1	454	Hit
168.836	1	TrialStart	Standard	61	0	0	1	n/a	CorrectRejection
169.835	0.2	ToneStart	Standard	61	0	0	1	n/a	CorrectRejection
171.085	2	TrialStart	Standard	62	0	0	1	n/a	CorrectRejection
173.085	0.2	ToneStart	Standard	62	0	0	1	n/a	CorrectRejection
174.352	2	TrialStart	Standard	63	0	0	1	n/a	CorrectRejection
176.351	0.2	ToneStart	Standard	63	0	0	1	n/a	CorrectRejection
177.618	1	TrialStart	Standard	64	0	0	1	n/a	CorrectRejection
178.618	0.2	ToneStart	Standard	64	0	0	1	n/a	CorrectRejection
179.884	1	TrialStart	Novel	65	0	0	1	n/a	CorrectRejection
180.884	0.2	ToneStart	Novel	65	0	0	1	n/a	CorrectRejection
182.134	2	TrialStart	Standard	66	0	0	1	n/a	CorrectRejection
184.134	0.2	ToneStart	Standard	66	0	0	1	n/a	CorrectRejection
185.384	1	TrialStart	Standard	67	0	0	1	n/a	CorrectRejection
186.384	0.2	ToneStart	Standard	67	0	0	1	n/a	CorrectRejection
187.65	2	TrialStart	Oddball	68	1	1	1	341	Hit
189.65	0.2	ToneStart	Oddball	68	1	1	1	341	Hit
190.9	1	TrialStart	Standard	69	0	0	1	n/a	CorrectRejection
191.9	0.2	ToneStart	Standard	69	0	0	1	n/a	CorrectRejection
193.15	1	TrialStart	Standard	70	0	0	1	n/a	CorrectRejection
194.15	0.2	ToneStart	Standard	70	0	0	1	n/a	CorrectRejection
195.399	2	TrialStart	Standard	71	0	0	1	n/a	CorrectRejection
197.399	0.2	ToneStart	Standard	71	0	0	1	n/a	CorrectRejection
198.649	2	TrialStart	Standard	72	0	0	1	n/a	CorrectRejection
200.649	0.2	ToneStart	Standard	72	0	0	1	n/a	CorrectRejection
201.899	1	TrialStart	Standard	73	0	0	1	n/a	CorrectRejection
202.899	0.2	ToneStart	Standard	73	0	0	1	n/a	CorrectRejection
204.165	2	TrialStart	Standard	74	0	0	1	n/a	CorrectRejection
206.165	0.2	ToneStart	Standard	74	0	0	1	n/a	CorrectRejection
207.432	2	TrialStart	Oddball	75	1	1	1	424	Hit
