onset	duration	TrialEvent	ToneLabel	Trial	CRESP	RESP	ACC	RT	Code
0.054	2	TrialStart	Standard	1	0	0	1	n/a	CorrectRejection
2.054	0.2	ToneStart	Standard	1	0	0	1	n/a	CorrectRejection
3.32	2	TrialStart	Standard	2	0	0	1	n/a	CorrectRejection
5.32	0.2	ToneStart	Standard	2	0	0	1	n/a	CorrectRejection
6.587	2	TrialStart	Standard	3	0	0	1	n/a	CorrectRejection
8.586	0.2	ToneStart	Standard	3	0	0	1	n/a	CorrectRejection
9.853	2	TrialStart	Novel	4	0	0	1	n/a	CorrectRejection
11.854	0.2	ToneStart	Novel	4	0	0	1	n/a	CorrectRejection
13.119	1	TrialStart	Standard	5	0	0	1	n/a	CorrectRejection
14.12	0.2	ToneStart	Standard	5	0	0	1	n/a	CorrectRejection
15.386	1	TrialStart	Standard	6	0	0	1	n/a	CorrectRejection
16.387	0.2	ToneStart	Standard	6	0	0	1	n/a	CorrectRejection
17.652	2	TrialStart	Standard	7	0	0	1	n/a	CorrectRejection
19.652	0.2	ToneStart	Standard	7	0	0	1	n/a	CorrectRejection
20.902	1	TrialStart	Standard	8	0	0	1	n/a	CorrectRejection
21.902	0.2	ToneStart	Standard	8	0	0	1	n/a	CorrectRejection
23.168	1	TrialStart	Standard	9	0	0	1	n/a	CorrectRejection
24.171	0.2	ToneStart	Standard	9	0	0	1	n/a	CorrectRejection
25.435	1	TrialStart	Standard	10	0	0	1	n/a	CorrectRejection
26.435	0.2	ToneStart	Standard	10	0	0	1	n/a	CorrectRejection
27.701	1	TrialStart	Oddball	11	1	1	1	413	Hit
28.701	0.2	ToneStart	Oddball	11	1	1	1	413	Hit
29.968	1	TrialStart	Standard	12	0	0	1	n/a	CorrectRejection
30.968	0.2	ToneStart	Standard	12	0	0	1	n/a	CorrectRejection
32.234	2	TrialStart	Standard	13	0	0	1	n/a	CorrectRejection
34.234	0.2	ToneStart	Standard	13	0	0	1	n/a	CorrectRejection
35.501	1	TrialStart	Standard	14	0	0	1	n/a	CorrectRejection
36.501	0.2	ToneStart	Standard	14	0	0	1	n/a	CorrectRejection
37.767	2	TrialStart	Standard	15	0	0	1	n/a	CorrectRejection
39.767	0.2	ToneStart	Standard	15	0	0	1	n/a	CorrectRejection
41.033	2	TrialStart	Standard	16	0	0	1	n/a	CorrectRejection
43.033	0.2	ToneStart	Standard	16	0	0	1	n/a	CorrectRejection
44.3	1	TrialStart	Novel	17	0	0	1	n/a	CorrectRejection
45.301	0.2	ToneStart	Novel	17	0	0	1	n/a	CorrectRejection
46.566	2	TrialStart	Standard	18	0	0	1	n/a	CorrectRejection
48.566	0.2	ToneStart	Standard	18	0	0	1	n/a	CorrectRejection
49.833	2	TrialStart	Standard	19	0	0	1	n/a	CorrectRejection
51.832	0.2	ToneStart	Standard	19	0	0	1	n/a	CorrectRejection
53.099	1	TrialStart	Standard	20	0	0	1	n/a	CorrectRejection
54.099	0.2	ToneStart	Standard	20	0	0	1	n/a	CorrectRejection
55.365	2	TrialStart	Standard	21	0	0	1	n/a	CorrectRejection
57.365	0.2	ToneStart	Standard	21	0	0	1	n/a	CorrectRejection
58.632	2	TrialStart	Standard	22	0	0	1	n/a	CorrectRejection
60.632	0.2	ToneStart	Standard	22	0	0	1	n/a	CorrectRejection
61.898	1	TrialStart	Novel	23	0	0	1	n/a	CorrectRejection
62.898	0.2	ToneStart	Novel	23	0	0	1	n/a	CorrectRejection
64.165	2	TrialStart	Oddball	24	1	1	1	630	Hit
66.164	0.2	ToneStart	Oddball	24	1	1	1	630	Hit
67.431	2	TrialStart	Standard	25	0	0	1	n/a	CorrectRejection
69.431	0.2	ToneStart	Standard	25	0	0	1	n/a	CorrectRejection
70.705	2	TrialStart	Standard	26	0	0	1	n/a	CorrectRejection
72.714	0.2	ToneStart	Standard	26	0	0	1	n/a	CorrectRejection
73.98	1	TrialStart	Standard	27	0	0	1	n/a	CorrectRejection
74.98	0.2	ToneStart	Standard	27	0	0	1	n/a	CorrectRejection
76.247	2	TrialStart	Standard	28	0	0	1	n/a	CorrectRejection
78.248	0.2	ToneStart	Standard	28	0	0	1	n/a	CorrectRejection
79.513	2	TrialStart	Oddball	29	1	1	1	454	Hit
81.513	0.2	ToneStart	Oddball	29	1	1	1	454	Hit
82.78	1	TrialStart	Novel	30	0	0	1	n/a	CorrectRejection
83.779	0.2	ToneStart	Novel	30	0	0	1	n/a	CorrectRejection
85.046	1	TrialStart	Standard	31	0	0	1	n/a	CorrectRejection
86.046	0.2	ToneStart	Standard	31	0	0	1	n/a	CorrectRejection
87.312	2	TrialStart	Standard	32	0	0	1	n/a	CorrectRejection
89.312	0.2	ToneStart	Standard	32	0	0	1	n/a	CorrectRejection
90.579	1	TrialStart	Novel	33	0	0	1	n/a	CorrectRejection
91.579	0.2	ToneStart	Novel	33	0	0	1	n/a	CorrectRejection
92.845	2	TrialStart	Standard	34	0	0	1	n/a	CorrectRejection
94.845	0.2	ToneStart	Standard	34	0	0	1	n/a	CorrectRejection
96.112	2	TrialStart	Standard	35	0	0	1	n/a	CorrectRejection
98.111	0.2	ToneStart	Standard	35	0	0	1	n/a	CorrectRejection
99.378	1	TrialStart	Standard	36	0	0	1	n/a	CorrectRejection
100.378	0.2	ToneStart	Standard	36	0	0	1	n/a	CorrectRejection
101.644	1	TrialStart	Standard	37	0	0	1	n/a	CorrectRejection
102.644	0.2	ToneStart	Standard	37	0	0	1	n/a	CorrectRejection
103.911	2	TrialStart	Standard	38	0	0	1	n/a	CorrectRejection
105.911	0.2	ToneStart	Standard	38	0	0	1	n/a	CorrectRejection
107.177	2	TrialStart	Oddball	39	1	1	1	397	Hit
109.177	0.2	ToneStart	Oddball	39	1	1	1	397	Hit
110.444	2	TrialStart	Standard	40	0	0	1	n/a	CorrectRejection
112.444	0.2	ToneStart	Standard	40	0	0	1	n/a	CorrectRejection
113.71	2	TrialStart	Standard	41	0	0	1	n/a	CorrectRejection
115.71	0.2	ToneStart	Standard	41	0	0	1	n/a	CorrectRejection
116.976	1	TrialStart	Standard	42	0	0	1	n/a	CorrectRejection
117.977	0.2	ToneStart	Standard	42	0	0	1	n/a	CorrectRejection
119.243	1	TrialStart	Standard	43	0	0	1	n/a	CorrectRejection
120.243	0.2	ToneStart	Standard	43	0	0	1	n/a	CorrectRejection
121.509	1	TrialStart	Novel	44	0	0	1	n/a	CorrectRejection
122.51	0.2	ToneStart	Novel	44	0	0	1	n/a	CorrectRejection
123.776	1	TrialStart	Standard	45	0	0	1	n/a	CorrectRejection
124.777	0.2	ToneStart	Standard	45	0	0	1	n/a	CorrectRejection
126.042	2	TrialStart	Standard	46	0	0	1	n/a	CorrectRejection
128.042	0.2	ToneStart	Standard	46	0	0	1	n/a	CorrectRejection
129.309	2	TrialStart	Standard	47	0	0	1	n/a	CorrectRejection
131.308	0.2	ToneStart	Standard	47	0	0	1	n/a	CorrectRejection
132.575	1	TrialStart	Standard	48	0	0	1	n/a	CorrectRejection
133.575	0.2	ToneStart	Standard	48	0	0	1	n/a	CorrectRejection
134.841	2	TrialStart	Oddball	49	1	1	1	419	Hit
136.841	0.2	ToneStart	Oddball	49	1	1	1	419	Hit
138.108	2	TrialStart	Standard	50	0	0	1	n/a	CorrectRejection
140.108	0.2	ToneStart	Standard	50	0	0	1	n/a	CorrectRejection
141.374	2	TrialStart	Standard	51	0	0	1	n/a	CorrectRejection
143.374	0.2	ToneStart	Standard	51	0	0	1	n/a	CorrectRejection
144.64	2	TrialStart	Standard	52	0	0	1	n/a	CorrectRejection
146.64	0.2	ToneStart	Standard	52	0	0	1	n/a	CorrectRejection
147.907	2	TrialStart	Novel	53	0	0	1	n/a	CorrectRejection
149.907	0.2	ToneStart	Novel	53	0	0	1	n/a	CorrectRejection
151.173	2	TrialStart	Standard	54	0	0	1	n/a	CorrectRejection
153.173	0.2	ToneStart	Standard	54	0	0	1	n/a	CorrectRejection
154.439	1	TrialStart	Standard	55	0	0	1	n/a	CorrectRejection
155.439	0.2	ToneStart	Standard	55	0	0	1	n/a	CorrectRejection
156.706	1	TrialStart	Novel	56	0	0	1	n/a	CorrectRejection
157.707	0.2	ToneStart	Novel	56	0	0	1	n/a	CorrectRejection
158.972	2	TrialStart	Standard	57	0	0	1	n/a	CorrectRejection
160.972	0.2	ToneStart	Standard	57	0	0	1	n/a	CorrectRejection
162.239	1	TrialStart	Standard	58	0	0	1	n/a	CorrectRejection
163.239	0.2	ToneStart	Standard	58	0	0	1	n/a	CorrectRejection
164.505	1	TrialStart	Standard	59	0	0	1	n/a	CorrectRejection
165.505	0.2	ToneStart	Standard	59	0	0	1	n/a	CorrectRejection
166.772	1	TrialStart	Oddball	60	1	1	1	490	Hit
167.772	0.2	ToneStart	Oddball	60	1	1	1	490	Hit
169.038	1	TrialStart	Standard	61	0	0	1	n/a	CorrectRejection
170.038	0.2	ToneStart	Standard	61	0	0	1	n/a	CorrectRejection
171.305	2	TrialStart	Standard	62	0	0	1	n/a	CorrectRejection
173.304	0.2	ToneStart	Standard	62	0	0	1	n/a	CorrectRejection
174.571	2	TrialStart	Standard	63	0	0	1	n/a	CorrectRejection
176.571	0.2	ToneStart	Standard	63	0	0	1	n/a	CorrectRejection
177.837	1	TrialStart	Standard	64	0	0	1	n/a	CorrectRejection
178.837	0.2	ToneStart	Standard	64	0	0	1	n/a	CorrectRejection
180.104	1	TrialStart	Novel	65	0	0	1	n/a	CorrectRejection
181.104	0.2	ToneStart	Novel	65	0	0	1	n/a	CorrectRejection
182.37	2	TrialStart	Standard	66	0	0	1	n/a	CorrectRejection
184.37	0.2	ToneStart	Standard	66	0	0	1	n/a	CorrectRejection
185.637	1	TrialStart	Standard	67	0	0	1	n/a	CorrectRejection
186.637	0.2	ToneStart	Standard	67	0	0	1	n/a	CorrectRejection
187.903	2	TrialStart	Oddball	68	1	1	1	452	Hit
189.904	0.2	ToneStart	Oddball	68	1	1	1	452	Hit
191.169	1	TrialStart	Standard	69	0	0	1	n/a	CorrectRejection
192.169	0.2	ToneStart	Standard	69	0	0	1	n/a	CorrectRejection
193.436	1	TrialStart	Standard	70	0	0	1	n/a	CorrectRejection
194.437	0.2	ToneStart	Standard	70	0	0	1	n/a	CorrectRejection
195.702	2	TrialStart	Standard	71	0	0	1	n/a	CorrectRejection
197.703	0.2	ToneStart	Standard	71	0	0	1	n/a	CorrectRejection
198.969	2	TrialStart	Standard	72	0	0	1	n/a	CorrectRejection
200.969	0.2	ToneStart	Standard	72	0	0	1	n/a	CorrectRejection
202.235	1	TrialStart	Standard	73	0	0	1	n/a	CorrectRejection
203.235	0.2	ToneStart	Standard	73	0	0	1	n/a	CorrectRejection
204.502	2	TrialStart	Standard	74	0	0	1	n/a	CorrectRejection
206.518	0.2	ToneStart	Standard	74	0	0	1	n/a	CorrectRejection
207.785	2	TrialStart	Oddball	75	1	1	1	590	Hit
209.784	0.2	ToneStart	Oddball	75	1	1	1	590	Hit
211.051	2	TrialStart	Standard	76	0	0	1	n/a	CorrectRejection
213.051	0.2	ToneStart	Standard	76	0	0	1	n/a	CorrectRejection
214.317	1	TrialStart	Standard	77	0	0	1	n/a	CorrectRejection
215.318	0.2	ToneStart	Standard	77	0	0	1	n/a	CorrectRejection
216.584	2	TrialStart	Standard	78	0	0	1	n/a	CorrectRejection
218.584	0.2	ToneStart	Standard	78	0	0	1	n/a	CorrectRejection
219.85	1	TrialStart	Novel	79	0	0	1	n/a	CorrectRejection
220.851	0.2	ToneStart	Novel	79	0	0	1	n/a	CorrectRejection
222.117	2	TrialStart	Standard	80	0	0	1	n/a	CorrectRejection
224.116	0.2	ToneStart	Standard	80	0	0	1	n/a	CorrectRejection
225.383	2	TrialStart	Standard	81	0	0	1	n/a	CorrectRejection
227.383	0.2	ToneStart	Standard	81	0	0	1	n/a	CorrectRejection
228.649	2	TrialStart	Oddball	82	1	1	1	471	Hit
230.65	0.2	ToneStart	Oddball	82	1	1	1	471	Hit
231.916	2	TrialStart	Standard	83	0	0	1	n/a	CorrectRejection
