onset	duration	TrialEvent	ToneLabel	Trial	CRESP	RESP	ACC	RT	Code
0.067	2	TrialStart	Standard	1	0	1	0	2326	FalseAlarm
2.067	0.2	ToneStart	Standard	1	0	1	0	2326	FalseAlarm
3.367	2	TrialStart	Standard	2	0	1	0	716	FalseAlarm
5.367	0.2	ToneStart	Standard	2	0	1	0	716	FalseAlarm
6.633	2	TrialStart	Standard	3	0	1	0	668	FalseAlarm
8.633	0.2	ToneStart	Standard	3	0	1	0	668	FalseAlarm
9.916	2	TrialStart	Novel	4	0	0	1	n/a	CorrectRejection
11.916	0.2	ToneStart	Novel	4	0	0	1	n/a	CorrectRejection
13.183	1	TrialStart	Standard	5	0	1	0	844	FalseAlarm
14.193	0.2	ToneStart	Standard	5	0	1	0	844	FalseAlarm
15.449	1	TrialStart	Standard	6	0	1	0	655	FalseAlarm
16.452	0.2	ToneStart	Standard	6	0	1	0	655	FalseAlarm
17.732	2	TrialStart	Standard	7	0	1	0	718	FalseAlarm
19.733	0.2	ToneStart	Standard	7	0	1	0	718	FalseAlarm
20.999	1	TrialStart	Standard	8	0	1	0	682	FalseAlarm
22	0.2	ToneStart	Standard	8	0	1	0	682	FalseAlarm
23.265	1	TrialStart	Standard	9	0	1	0	738	FalseAlarm
24.266	0.2	ToneStart	Standard	9	0	1	0	738	FalseAlarm
25.532	1	TrialStart	Standard	10	0	1	0	697	FalseAlarm
26.532	0.2	ToneStart	Standard	10	0	1	0	697	FalseAlarm
27.798	1	TrialStart	Oddball	11	1	0	0	n/a	Miss
28.815	0.2	ToneStart	Oddball	11	1	0	0	n/a	Miss
30.081	1	TrialStart	Standard	12	0	1	0	820	FalseAlarm
31.082	0.2	ToneStart	Standard	12	0	1	0	820	FalseAlarm
32.364	2	TrialStart	Standard	13	0	1	0	561	FalseAlarm
34.364	0.2	ToneStart	Standard	13	0	1	0	561	FalseAlarm
35.631	1	TrialStart	Standard	14	0	1	0	670	FalseAlarm
36.632	0.2	ToneStart	Standard	14	0	1	0	670	FalseAlarm
37.914	2	TrialStart	Standard	15	0	1	0	520	FalseAlarm
39.914	0.2	ToneStart	Standard	15	0	1	0	520	FalseAlarm
41.197	2	TrialStart	Standard	16	0	1	0	671	FalseAlarm
43.197	0.2	ToneStart	Standard	16	0	1	0	671	FalseAlarm
44.463	1	TrialStart	Novel	17	0	0	1	n/a	CorrectRejection
45.48	0.2	ToneStart	Novel	17	0	0	1	n/a	CorrectRejection
46.746	2	TrialStart	Standard	18	0	1	0	664	FalseAlarm
48.746	0.2	ToneStart	Standard	18	0	1	0	664	FalseAlarm
50.029	2	TrialStart	Standard	19	0	1	0	707	FalseAlarm
52.029	0.2	ToneStart	Standard	19	0	1	0	707	FalseAlarm
53.296	1	TrialStart	Standard	20	0	1	0	611	FalseAlarm
54.296	0.2	ToneStart	Standard	20	0	1	0	611	FalseAlarm
55.562	2	TrialStart	Standard	21	0	1	0	663	FalseAlarm
57.563	0.2	ToneStart	Standard	21	0	1	0	663	FalseAlarm
58.829	2	TrialStart	Standard	22	0	1	0	855	FalseAlarm
60.829	0.2	ToneStart	Standard	22	0	1	0	855	FalseAlarm
62.095	1	TrialStart	Novel	23	0	0	1	n/a	CorrectRejection
63.23	0.2	ToneStart	Novel	23	0	0	1	n/a	CorrectRejection
64.528	2	TrialStart	Oddball	24	1	0	0	n/a	Miss
66.528	0.2	ToneStart	Oddball	24	1	0	0	n/a	Miss
67.795	2	TrialStart	Standard	25	0	1	0	777	FalseAlarm
69.795	0.2	ToneStart	Standard	25	0	1	0	777	FalseAlarm
71.061	2	TrialStart	Standard	26	0	1	0	653	FalseAlarm
73.061	0.2	ToneStart	Standard	26	0	1	0	653	FalseAlarm
74.327	1	TrialStart	Standard	27	0	1	0	460	FalseAlarm
75.327	0.2	ToneStart	Standard	27	0	1	0	460	FalseAlarm
76.594	2	TrialStart	Standard	28	0	1	0	474	FalseAlarm
78.595	0.2	ToneStart	Standard	28	0	1	0	474	FalseAlarm
79.86	2	TrialStart	Oddball	29	1	0	0	n/a	Miss
81.86	0.2	ToneStart	Oddball	29	1	0	0	n/a	Miss
83.127	1	TrialStart	Novel	30	0	0	1	n/a	CorrectRejection
