onset	duration	TrialEvent	ToneLabel	Trial	CRESP	RESP	ACC	RT	Code
0.079	2	TrialStart	Standard	1	0	1	0	1040	FalseAlarm
2.079	0.2	ToneStart	Standard	1	0	1	0	1040	FalseAlarm
3.362	2	TrialStart	Standard	2	0	1	0	777	FalseAlarm
5.362	0.2	ToneStart	Standard	2	0	1	0	777	FalseAlarm
6.628	2	TrialStart	Standard	3	0	1	0	563	FalseAlarm
8.628	0.2	ToneStart	Standard	3	0	1	0	563	FalseAlarm
9.912	2	TrialStart	Novel	4	0	0	1	n/a	CorrectRejection
11.911	0.2	ToneStart	Novel	4	0	0	1	n/a	CorrectRejection
13.178	1	TrialStart	Standard	5	0	1	0	610	FalseAlarm
14.182	0.2	ToneStart	Standard	5	0	1	0	610	FalseAlarm
15.444	1	TrialStart	Standard	6	0	1	0	731	FalseAlarm
16.444	0.2	ToneStart	Standard	6	0	1	0	731	FalseAlarm
17.711	2	TrialStart	Standard	7	0	1	0	527	FalseAlarm
19.711	0.2	ToneStart	Standard	7	0	1	0	527	FalseAlarm
20.977	1	TrialStart	Standard	8	0	1	0	591	FalseAlarm
21.977	0.2	ToneStart	Standard	8	0	1	0	591	FalseAlarm
23.277	1	TrialStart	Standard	9	0	1	0	559	FalseAlarm
24.277	0.2	ToneStart	Standard	9	0	1	0	559	FalseAlarm
25.543	1	TrialStart	Standard	10	0	1	0	495	FalseAlarm
26.56	0.2	ToneStart	Standard	10	0	1	0	495	FalseAlarm
27.827	1	TrialStart	Oddball	11	1	0	0	n/a	Miss
28.827	0.2	ToneStart	Oddball	11	1	0	0	n/a	Miss
30.093	1	TrialStart	Standard	12	0	1	0	582	FalseAlarm
31.11	0.2	ToneStart	Standard	12	0	1	0	582	FalseAlarm
32.376	2	TrialStart	Standard	13	0	1	0	578	FalseAlarm
34.376	0.2	ToneStart	Standard	13	0	1	0	578	FalseAlarm
35.643	1	TrialStart	Standard	14	0	1	0	699	FalseAlarm
36.643	0.2	ToneStart	Standard	14	0	1	0	699	FalseAlarm
37.909	2	TrialStart	Standard	15	0	1	0	756	FalseAlarm
39.909	0.2	ToneStart	Standard	15	0	1	0	756	FalseAlarm
41.192	2	TrialStart	Standard	16	0	1	0	707	FalseAlarm
43.192	0.2	ToneStart	Standard	16	0	1	0	707	FalseAlarm
44.458	1	TrialStart	Novel	17	0	0	1	n/a	CorrectRejection
45.475	0.2	ToneStart	Novel	17	0	0	1	n/a	CorrectRejection
46.742	2	TrialStart	Standard	18	0	1	0	601	FalseAlarm
48.741	0.2	ToneStart	Standard	18	0	1	0	601	FalseAlarm
50.008	2	TrialStart	Standard	19	0	1	0	558	FalseAlarm
52.009	0.2	ToneStart	Standard	19	0	1	0	558	FalseAlarm
53.274	1	TrialStart	Standard	20	0	1	0	568	FalseAlarm
54.291	0.2	ToneStart	Standard	20	0	1	0	568	FalseAlarm
55.557	2	TrialStart	Standard	21	0	1	0	543	FalseAlarm
57.557	0.2	ToneStart	Standard	21	0	1	0	543	FalseAlarm
58.824	2	TrialStart	Standard	22	0	1	0	621	FalseAlarm
60.824	0.2	ToneStart	Standard	22	0	1	0	621	FalseAlarm
62.09	1	TrialStart	Novel	23	0	0	1	n/a	CorrectRejection
63.107	0.2	ToneStart	Novel	23	0	0	1	n/a	CorrectRejection
64.373	2	TrialStart	Oddball	24	1	0	0	n/a	Miss
66.373	0.2	ToneStart	Oddball	24	1	0	0	n/a	Miss
67.656	2	TrialStart	Standard	25	0	1	0	665	FalseAlarm
69.656	0.2	ToneStart	Standard	25	0	1	0	665	FalseAlarm
70.939	2	TrialStart	Standard	26	0	1	0	740	FalseAlarm
72.939	0.2	ToneStart	Standard	26	0	1	0	740	FalseAlarm
74.206	1	TrialStart	Standard	27	0	1	0	653	FalseAlarm
75.239	0.2	ToneStart	Standard	27	0	1	0	653	FalseAlarm
76.506	2	TrialStart	Standard	28	0	1	0	589	FalseAlarm
78.505	0.2	ToneStart	Standard	28	0	1	0	589	FalseAlarm
79.772	2	TrialStart	Oddball	29	1	0	0	n/a	Miss
81.772	0.2	ToneStart	Oddball	29	1	0	0	n/a	Miss
83.038	1	TrialStart	Novel	30	0	0	1	n/a	CorrectRejection
84.055	0.2	ToneStart	Novel	30	0	0	1	n/a	CorrectRejection
85.323	1	TrialStart	Standard	31	0	1	0	612	FalseAlarm
86.338	0.2	ToneStart	Standard	31	0	1	0	612	FalseAlarm
87.621	2	TrialStart	Standard	32	0	1	0	585	FalseAlarm
89.621	0.2	ToneStart	Standard	32	0	1	0	585	FalseAlarm
90.904	1	TrialStart	Novel	33	0	0	1	n/a	CorrectRejection
91.921	0.2	ToneStart	Novel	33	0	0	1	n/a	CorrectRejection
93.187	2	TrialStart	Standard	34	0	1	0	604	FalseAlarm
95.188	0.2	ToneStart	Standard	34	0	1	0	604	FalseAlarm
96.47	2	TrialStart	Standard	35	0	1	0	411	FalseAlarm
98.47	0.2	ToneStart	Standard	35	0	1	0	411	FalseAlarm
99.737	1	TrialStart	Standard	36	0	1	0	551	FalseAlarm
100.739	0.2	ToneStart	Standard	36	0	1	0	551	FalseAlarm
102.003	1	TrialStart	Standard	37	0	1	0	455	FalseAlarm
103.003	0.2	ToneStart	Standard	37	0	1	0	455	FalseAlarm
104.27	2	TrialStart	Standard	38	0	1	0	825	FalseAlarm
106.27	0.2	ToneStart	Standard	38	0	1	0	825	FalseAlarm
107.544	2	TrialStart	Oddball	39	1	0	0	n/a	Miss
109.553	0.2	ToneStart	Oddball	39	1	0	0	n/a	Miss
110.836	2	TrialStart	Standard	40	0	1	0	661	FalseAlarm
112.836	0.2	ToneStart	Standard	40	0	1	0	661	FalseAlarm
114.119	2	TrialStart	Standard	41	0	1	0	672	FalseAlarm
116.119	0.2	ToneStart	Standard	41	0	1	0	672	FalseAlarm
117.385	1	TrialStart	Standard	42	0	1	0	904	FalseAlarm
118.419	0.2	ToneStart	Standard	42	0	1	0	904	FalseAlarm
119.685	1	TrialStart	Standard	43	0	1	0	477	FalseAlarm
120.685	0.2	ToneStart	Standard	43	0	1	0	477	FalseAlarm
121.953	1	TrialStart	Novel	44	0	0	1	n/a	CorrectRejection
122.951	0.2	ToneStart	Novel	44	0	0	1	n/a	CorrectRejection
124.203	1	TrialStart	Standard	45	0	1	0	1132	FalseAlarm
125.218	0.2	ToneStart	Standard	45	0	1	0	1132	FalseAlarm
126.484	2	TrialStart	Standard	46	0	1	0	1346	FalseAlarm
128.484	0.2	ToneStart	Standard	46	0	1	0	1346	FalseAlarm
129.734	2	TrialStart	Standard	47	0	1	0	644	FalseAlarm
131.734	0.2	ToneStart	Standard	47	0	1	0	644	FalseAlarm
132.984	1	TrialStart	Standard	48	0	1	0	953	FalseAlarm
134.001	0.2	ToneStart	Standard	48	0	1	0	953	FalseAlarm
135.25	2	TrialStart	Oddball	49	1	0	0	n/a	Miss
137.25	0.2	ToneStart	Oddball	49	1	0	0	n/a	Miss
138.517	2	TrialStart	Standard	50	0	1	0	577	FalseAlarm
140.517	0.2	ToneStart	Standard	50	0	1	0	577	FalseAlarm
141.766	2	TrialStart	Standard	51	0	1	0	733	FalseAlarm
143.766	0.2	ToneStart	Standard	51	0	1	0	733	FalseAlarm
145.016	2	TrialStart	Standard	52	0	1	0	878	FalseAlarm
147.016	0.2	ToneStart	Standard	52	0	1	0	878	FalseAlarm
148.283	2	TrialStart	Novel	53	0	0	1	n/a	CorrectRejection
150.282	0.2	ToneStart	Novel	53	0	0	1	n/a	CorrectRejection
151.532	2	TrialStart	Standard	54	0	1	0	1743	FalseAlarm
153.532	0.2	ToneStart	Standard	54	0	1	0	1743	FalseAlarm
154.782	1	TrialStart	Standard	55	0	1	0	983	FalseAlarm
155.782	0.2	ToneStart	Standard	55	0	1	0	983	FalseAlarm
157.032	1	TrialStart	Novel	56	0	0	1	n/a	CorrectRejection
158.037	0.2	ToneStart	Novel	56	0	0	1	n/a	CorrectRejection
159.299	2	TrialStart	Standard	57	0	1	0	763	FalseAlarm
161.298	0.2	ToneStart	Standard	57	0	1	0	763	FalseAlarm
162.548	1	TrialStart	Standard	58	0	1	0	939	FalseAlarm
163.548	0.2	ToneStart	Standard	58	0	1	0	939	FalseAlarm
164.814	1	TrialStart	Standard	59	0	1	0	762	FalseAlarm
165.814	0.2	ToneStart	Standard	59	0	1	0	762	FalseAlarm
167.081	1	TrialStart	Oddball	60	1	0	0	n/a	Miss
168.085	0.2	ToneStart	Oddball	60	1	0	0	n/a	Miss
169.347	1	TrialStart	Standard	61	0	1	0	770	FalseAlarm
170.364	0.2	ToneStart	Standard	61	0	1	0	770	FalseAlarm
171.614	2	TrialStart	Standard	62	0	1	0	706	FalseAlarm
173.614	0.2	ToneStart	Standard	62	0	1	0	706	FalseAlarm
174.864	2	TrialStart	Standard	63	0	1	0	843	FalseAlarm
176.863	0.2	ToneStart	Standard	63	0	1	0	843	FalseAlarm
178.113	1	TrialStart	Standard	64	0	1	0	631	FalseAlarm
179.117	0.2	ToneStart	Standard	64	0	1	0	631	FalseAlarm
180.38	1	TrialStart	Novel	65	0	0	1	n/a	CorrectRejection
181.38	0.2	ToneStart	Novel	65	0	0	1	n/a	CorrectRejection
182.629	2	TrialStart	Standard	66	0	1	0	626	FalseAlarm
184.629	0.2	ToneStart	Standard	66	0	1	0	626	FalseAlarm
185.879	1	TrialStart	Standard	67	0	1	0	780	FalseAlarm
186.883	0.2	ToneStart	Standard	67	0	1	0	780	FalseAlarm
188.162	2	TrialStart	Oddball	68	1	0	0	n/a	Miss
190.162	0.2	ToneStart	Oddball	68	1	0	0	n/a	Miss
191.429	1	TrialStart	Standard	69	0	1	0	661	FalseAlarm
192.43	0.2	ToneStart	Standard	69	0	1	0	661	FalseAlarm
193.679	1	TrialStart	Standard	70	0	1	0	658	FalseAlarm
194.678	0.2	ToneStart	Standard	70	0	1	0	658	FalseAlarm
195.928	2	TrialStart	Standard	71	0	1	0	860	FalseAlarm
197.928	0.2	ToneStart	Standard	71	0	1	0	860	FalseAlarm
199.195	2	TrialStart	Standard	72	0	1	0	693	FalseAlarm
201.195	0.2	ToneStart	Standard	72	0	1	0	693	FalseAlarm
202.462	1	TrialStart	Standard	73	0	1	0	696	FalseAlarm
203.461	0.2	ToneStart	Standard	73	0	1	0	696	FalseAlarm
204.711	2	TrialStart	Standard	74	0	1	0	540	FalseAlarm
206.712	0.2	ToneStart	Standard	74	0	1	0	540	FalseAlarm
207.961	2	TrialStart	Oddball	75	1	0	0	n/a	Miss
209.96	0.2	ToneStart	Oddball	75	1	0	0	n/a	Miss
211.21	2	TrialStart	Standard	76	0	1	0	656	FalseAlarm
213.211	0.2	ToneStart	Standard	76	0	1	0	656	FalseAlarm
