onset	duration	TrialEvent	ToneLabel	Trial	CRESP	RESP	ACC	RT	Code
0.065	2	TrialStart	Standard	1	0	0	1	n/a	CorrectRejection
2.064	0.2	ToneStart	Standard	1	0	0	1	n/a	CorrectRejection
3.331	2	TrialStart	Standard	2	0	0	1	n/a	CorrectRejection
5.331	0.2	ToneStart	Standard	2	0	0	1	n/a	CorrectRejection
6.597	2	TrialStart	Standard	3	0	0	1	n/a	CorrectRejection
8.597	0.2	ToneStart	Standard	3	0	0	1	n/a	CorrectRejection
9.864	2	TrialStart	Novel	4	0	0	1	n/a	CorrectRejection
11.863	0.2	ToneStart	Novel	4	0	0	1	n/a	CorrectRejection
13.13	1	TrialStart	Standard	5	0	0	1	n/a	CorrectRejection
14.13	0.2	ToneStart	Standard	5	0	0	1	n/a	CorrectRejection
15.396	1	TrialStart	Standard	6	0	0	1	n/a	CorrectRejection
16.396	0.2	ToneStart	Standard	6	0	0	1	n/a	CorrectRejection
17.663	2	TrialStart	Standard	7	0	0	1	n/a	CorrectRejection
19.663	0.2	ToneStart	Standard	7	0	0	1	n/a	CorrectRejection
20.929	1	TrialStart	Standard	8	0	0	1	n/a	CorrectRejection
21.929	0.2	ToneStart	Standard	8	0	0	1	n/a	CorrectRejection
23.196	1	TrialStart	Standard	9	0	0	1	n/a	CorrectRejection
24.196	0.2	ToneStart	Standard	9	0	0	1	n/a	CorrectRejection
25.462	1	TrialStart	Standard	10	0	0	1	n/a	CorrectRejection
26.463	0.2	ToneStart	Standard	10	0	0	1	n/a	CorrectRejection
27.729	1	TrialStart	Oddball	11	1	1	1	516	Hit
28.729	0.2	ToneStart	Oddball	11	1	1	1	516	Hit
29.995	1	TrialStart	Standard	12	0	0	1	n/a	CorrectRejection
30.995	0.2	ToneStart	Standard	12	0	0	1	n/a	CorrectRejection
32.262	2	TrialStart	Standard	13	0	0	1	n/a	CorrectRejection
34.261	0.2	ToneStart	Standard	13	0	0	1	n/a	CorrectRejection
35.528	1	TrialStart	Standard	14	0	0	1	n/a	CorrectRejection
36.528	0.2	ToneStart	Standard	14	0	0	1	n/a	CorrectRejection
37.794	2	TrialStart	Standard	15	0	0	1	n/a	CorrectRejection
