onset	duration	TrialEvent	ToneLabel	Trial	CRESP	RESP	ACC	RT	Code
0.031	2	TrialStart	Standard	1	0	0	1	n/a	CorrectRejection
2.032	0.2	ToneStart	Standard	1	0	0	1	n/a	CorrectRejection
3.281	2	TrialStart	Standard	2	0	0	1	n/a	CorrectRejection
5.281	0.2	ToneStart	Standard	2	0	0	1	n/a	CorrectRejection
6.531	2	TrialStart	Standard	3	0	0	1	n/a	CorrectRejection
8.53	0.2	ToneStart	Standard	3	0	0	1	n/a	CorrectRejection
9.78	2	TrialStart	Novel	4	0	0	1	n/a	CorrectRejection
11.78	0.2	ToneStart	Novel	4	0	0	1	n/a	CorrectRejection
13.03	1	TrialStart	Standard	5	0	0	1	n/a	CorrectRejection
14.03	0.2	ToneStart	Standard	5	0	0	1	n/a	CorrectRejection
15.28	1	TrialStart	Standard	6	0	0	1	n/a	CorrectRejection
16.279	0.2	ToneStart	Standard	6	0	0	1	n/a	CorrectRejection
17.529	2	TrialStart	Standard	7	0	0	1	n/a	CorrectRejection
19.529	0.2	ToneStart	Standard	7	0	0	1	n/a	CorrectRejection
20.779	1	TrialStart	Standard	8	0	0	1	n/a	CorrectRejection
21.779	0.2	ToneStart	Standard	8	0	0	1	n/a	CorrectRejection
23.029	1	TrialStart	Standard	9	0	0	1	n/a	CorrectRejection
24.029	0.2	ToneStart	Standard	9	0	0	1	n/a	CorrectRejection
25.279	1	TrialStart	Standard	10	0	0	1	n/a	CorrectRejection
26.278	0.2	ToneStart	Standard	10	0	0	1	n/a	CorrectRejection
27.528	1	TrialStart	Oddball	11	1	1	1	648	Hit
28.529	0.2	ToneStart	Oddball	11	1	1	1	648	Hit
29.778	1	TrialStart	Standard	12	0	0	1	n/a	CorrectRejection
30.778	0.2	ToneStart	Standard	12	0	0	1	n/a	CorrectRejection
32.028	2	TrialStart	Standard	13	0	0	1	n/a	CorrectRejection
34.028	0.2	ToneStart	Standard	13	0	0	1	n/a	CorrectRejection
35.277	1	TrialStart	Standard	14	0	0	1	n/a	CorrectRejection
36.277	0.2	ToneStart	Standard	14	0	0	1	n/a	CorrectRejection
37.527	2	TrialStart	Standard	15	0	0	1	n/a	CorrectRejection
39.527	0.2	ToneStart	Standard	15	0	0	1	n/a	CorrectRejection
40.777	2	TrialStart	Standard	16	0	0	1	n/a	CorrectRejection
42.777	0.2	ToneStart	Standard	16	0	0	1	n/a	CorrectRejection
44.027	1	TrialStart	Novel	17	0	0	1	n/a	CorrectRejection
45.026	0.2	ToneStart	Novel	17	0	0	1	n/a	CorrectRejection
46.276	2	TrialStart	Standard	18	0	0	1	n/a	CorrectRejection
48.276	0.2	ToneStart	Standard	18	0	0	1	n/a	CorrectRejection
49.526	2	TrialStart	Standard	19	0	0	1	n/a	CorrectRejection
51.526	0.2	ToneStart	Standard	19	0	0	1	n/a	CorrectRejection
52.776	1	TrialStart	Standard	20	0	0	1	n/a	CorrectRejection
53.776	0.2	ToneStart	Standard	20	0	0	1	n/a	CorrectRejection
55.025	2	TrialStart	Standard	21	0	0	1	n/a	CorrectRejection
57.025	0.2	ToneStart	Standard	21	0	0	1	n/a	CorrectRejection
58.275	2	TrialStart	Standard	22	0	0	1	n/a	CorrectRejection
60.275	0.2	ToneStart	Standard	22	0	0	1	n/a	CorrectRejection
61.525	1	TrialStart	Novel	23	0	0	1	n/a	CorrectRejection
62.525	0.2	ToneStart	Novel	23	0	0	1	n/a	CorrectRejection
63.774	2	TrialStart	Oddball	24	1	1	1	601	Hit
65.774	0.2	ToneStart	Oddball	24	1	1	1	601	Hit
