onset	duration	TrialEvent	ToneLabel	Trial	CRESP	RESP	ACC	RT	Code
0.04	2	TrialStart	Standard	1	0	0	1	n/a	CorrectRejection
2.041	0.2	ToneStart	Standard	1	0	0	1	n/a	CorrectRejection
3.29	2	TrialStart	Standard	2	0	1	0	1134	FalseAlarm
5.29	0.2	ToneStart	Standard	2	0	1	0	1134	FalseAlarm
6.54	2	TrialStart	Standard	3	0	1	0	1545	FalseAlarm
8.539	0.2	ToneStart	Standard	3	0	1	0	1545	FalseAlarm
9.789	2	TrialStart	Novel	4	0	0	1	n/a	CorrectRejection
11.789	0.2	ToneStart	Novel	4	0	0	1	n/a	CorrectRejection
13.039	1	TrialStart	Standard	5	0	0	1	n/a	CorrectRejection
14.039	0.2	ToneStart	Standard	5	0	0	1	n/a	CorrectRejection
15.289	1	TrialStart	Standard	6	0	0	1	n/a	CorrectRejection
16.289	0.2	ToneStart	Standard	6	0	0	1	n/a	CorrectRejection
17.538	2	TrialStart	Standard	7	0	0	1	n/a	CorrectRejection
19.538	0.2	ToneStart	Standard	7	0	0	1	n/a	CorrectRejection
20.788	1	TrialStart	Standard	8	0	0	1	n/a	CorrectRejection
21.788	0.2	ToneStart	Standard	8	0	0	1	n/a	CorrectRejection
23.038	1	TrialStart	Standard	9	0	0	1	n/a	CorrectRejection
24.038	0.2	ToneStart	Standard	9	0	0	1	n/a	CorrectRejection
25.288	1	TrialStart	Standard	10	0	1	0	1197	FalseAlarm
26.288	0.2	ToneStart	Standard	10	0	1	0	1197	FalseAlarm
27.537	1	TrialStart	Oddball	11	1	0	0	n/a	Miss
28.537	0.2	ToneStart	Oddball	11	1	0	0	n/a	Miss
29.787	1	TrialStart	Standard	12	0	0	1	n/a	CorrectRejection
30.787	0.2	ToneStart	Standard	12	0	0	1	n/a	CorrectRejection
32.037	2	TrialStart	Standard	13	0	0	1	n/a	CorrectRejection
34.037	0.2	ToneStart	Standard	13	0	0	1	n/a	CorrectRejection
35.287	1	TrialStart	Standard	14	0	0	1	n/a	CorrectRejection
36.286	0.2	ToneStart	Standard	14	0	0	1	n/a	CorrectRejection
37.536	2	TrialStart	Standard	15	0	0	1	n/a	CorrectRejection
39.536	0.2	ToneStart	Standard	15	0	0	1	n/a	CorrectRejection
40.786	2	TrialStart	Standard	16	0	0	1	n/a	CorrectRejection
42.787	0.2	ToneStart	Standard	16	0	0	1	n/a	CorrectRejection
44.036	1	TrialStart	Novel	17	0	0	1	n/a	CorrectRejection
45.036	0.2	ToneStart	Novel	17	0	0	1	n/a	CorrectRejection
46.285	2	TrialStart	Standard	18	0	1	0	994	FalseAlarm
48.285	0.2	ToneStart	Standard	18	0	1	0	994	FalseAlarm
49.535	2	TrialStart	Standard	19	0	1	0	827	FalseAlarm
51.535	0.2	ToneStart	Standard	19	0	1	0	827	FalseAlarm
52.785	1	TrialStart	Standard	20	0	1	0	515	FalseAlarm
53.785	0.2	ToneStart	Standard	20	0	1	0	515	FalseAlarm
55.034	2	TrialStart	Standard	21	0	1	0	816	FalseAlarm
57.034	0.2	ToneStart	Standard	21	0	1	0	816	FalseAlarm
58.284	2	TrialStart	Standard	22	0	1	0	671	FalseAlarm
60.284	0.2	ToneStart	Standard	22	0	1	0	671	FalseAlarm
61.534	1	TrialStart	Novel	23	0	0	1	n/a	CorrectRejection
62.535	0.2	ToneStart	Novel	23	0	0	1	n/a	CorrectRejection
63.784	2	TrialStart	Oddball	24	1	0	0	n/a	Miss
65.783	0.2	ToneStart	Oddball	24	1	0	0	n/a	Miss
67.033	2	TrialStart	Standard	25	0	1	0	824	FalseAlarm
69.033	0.2	ToneStart	Standard	25	0	1	0	824	FalseAlarm
70.283	2	TrialStart	Standard	26	0	1	0	819	FalseAlarm
72.283	0.2	ToneStart	Standard	26	0	1	0	819	FalseAlarm
73.532	1	TrialStart	Standard	27	0	1	0	644	FalseAlarm
74.532	0.2	ToneStart	Standard	27	0	1	0	644	FalseAlarm
75.782	2	TrialStart	Standard	28	0	1	0	729	FalseAlarm
77.782	0.2	ToneStart	Standard	28	0	1	0	729	FalseAlarm
79.032	2	TrialStart	Oddball	29	1	0	0	n/a	Miss
81.032	0.2	ToneStart	Oddball	29	1	0	0	n/a	Miss
82.282	1	TrialStart	Novel	30	0	0	1	n/a	CorrectRejection
83.281	0.2	ToneStart	Novel	30	0	0	1	n/a	CorrectRejection
84.531	1	TrialStart	Standard	31	0	1	0	682	FalseAlarm
85.531	0.2	ToneStart	Standard	31	0	1	0	682	FalseAlarm
86.781	2	TrialStart	Standard	32	0	1	0	580	FalseAlarm
88.781	0.2	ToneStart	Standard	32	0	1	0	580	FalseAlarm
90.031	1	TrialStart	Novel	33	0	0	1	n/a	CorrectRejection
91.031	0.2	ToneStart	Novel	33	0	0	1	n/a	CorrectRejection
92.264	2	TrialStart	Standard	34	0	1	0	744	FalseAlarm
94.264	0.2	ToneStart	Standard	34	0	1	0	744	FalseAlarm
95.497	2	TrialStart	Standard	35	0	1	0	625	FalseAlarm
97.497	0.2	ToneStart	Standard	35	0	1	0	625	FalseAlarm
98.746	1	TrialStart	Standard	36	0	1	0	519	FalseAlarm
99.746	0.2	ToneStart	Standard	36	0	1	0	519	FalseAlarm
100.98	1	TrialStart	Standard	37	0	1	0	548	FalseAlarm
101.979	0.2	ToneStart	Standard	37	0	1	0	548	FalseAlarm
103.229	2	TrialStart	Standard	38	0	1	0	580	FalseAlarm
105.229	0.2	ToneStart	Standard	38	0	1	0	580	FalseAlarm
106.462	2	TrialStart	Oddball	39	1	0	0	n/a	Miss
108.462	0.2	ToneStart	Oddball	39	1	0	0	n/a	Miss
109.712	2	TrialStart	Standard	40	0	1	0	669	FalseAlarm
111.712	0.2	ToneStart	Standard	40	0	1	0	669	FalseAlarm
112.945	2	TrialStart	Standard	41	0	1	0	589	FalseAlarm
114.945	0.2	ToneStart	Standard	41	0	1	0	589	FalseAlarm
116.178	1	TrialStart	Standard	42	0	1	0	486	FalseAlarm
117.178	0.2	ToneStart	Standard	42	0	1	0	486	FalseAlarm
118.411	1	TrialStart	Standard	43	0	1	0	646	FalseAlarm
119.411	0.2	ToneStart	Standard	43	0	1	0	646	FalseAlarm
120.661	1	TrialStart	Novel	44	0	0	1	n/a	CorrectRejection
121.661	0.2	ToneStart	Novel	44	0	0	1	n/a	CorrectRejection
122.911	1	TrialStart	Standard	45	0	1	0	757	FalseAlarm
123.91	0.2	ToneStart	Standard	45	0	1	0	757	FalseAlarm
125.144	2	TrialStart	Standard	46	0	1	0	682	FalseAlarm
127.143	0.2	ToneStart	Standard	46	0	1	0	682	FalseAlarm
128.377	2	TrialStart	Standard	47	0	1	0	584	FalseAlarm
130.376	0.2	ToneStart	Standard	47	0	1	0	584	FalseAlarm
131.61	1	TrialStart	Standard	48	0	1	0	605	FalseAlarm
132.61	0.2	ToneStart	Standard	48	0	1	0	605	FalseAlarm
133.843	2	TrialStart	Oddball	49	1	0	0	n/a	Miss
135.842	0.2	ToneStart	Oddball	49	1	0	0	n/a	Miss
137.076	2	TrialStart	Standard	50	0	1	0	702	FalseAlarm
139.075	0.2	ToneStart	Standard	50	0	1	0	702	FalseAlarm
140.309	2	TrialStart	Standard	51	0	1	0	733	FalseAlarm
142.308	0.2	ToneStart	Standard	51	0	1	0	733	FalseAlarm
143.558	2	TrialStart	Standard	52	0	1	0	618	FalseAlarm
145.558	0.2	ToneStart	Standard	52	0	1	0	618	FalseAlarm
